,carat,cut,color,clarity,depth,table,x,y,z,price_predict,price_predicted
1328,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,441.0,441.0
1329,0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,1551.0,1551.0
1330,0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,4397.0,4397.0
1331,0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,-858.0,-858.0
1332,0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3617.0,3617.0
1333,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4720.0,4720.0
1334,1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,6727.0,6727.0
1335,1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,6877.0,6877.0
1336,1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,7251.0,7251.0
1337,1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,6338.0,6338.0
1338,1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5780.0,5780.0
1339,0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,812.0,812.0
1340,2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,16135.0,16135.0
1341,0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,1334.0,1334.0
1342,0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,-870.0,-870.0
1343,1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,5067.0,5067.0
1344,0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,3005.0,3005.0
1345,0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,-1547.0,-1547.0
1346,0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1809.0,1809.0
1347,0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,3126.0,3126.0
1348,0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,2777.0,2777.0
1349,0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,2395.0,2395.0
1350,0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,3.0,3.0
1351,1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,5078.0,5078.0
1352,0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,82.0,82.0
1353,0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,1475.0,1475.0
1354,1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,5541.0,5541.0
1355,0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,1969.0,1969.0
1356,0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,494.0,494.0
1357,0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,283.0,283.0
1358,1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,12525.0,12525.0
1359,0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,103.0,103.0
1360,0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,3971.0,3971.0
1361,0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1141.0,1141.0
1362,0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,4581.0,4581.0
1363,0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,2642.0,2642.0
1364,1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,6568.0,6568.0
1365,0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,1668.0,1668.0
1366,0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,1929.0,1929.0
1367,1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,3105.0,3105.0
1368,0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,3245.0,3245.0
1369,0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,2491.0,2491.0
1370,0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,573.0,573.0
1371,0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,1303.0,1303.0
1372,0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,1326.0,1326.0
1373,1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,4597.0,4597.0
1374,1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,7945.0,7945.0
1375,1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,11376.0,11376.0
1376,0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1837.0,1837.0
1377,0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,-1681.0,-1681.0
1378,1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,10200.0,10200.0
1379,0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,-813.0,-813.0
1380,0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,-1459.0,-1459.0
1381,1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,6125.0,6125.0
1382,0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,1313.0,1313.0
1383,0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,1347.0,1347.0
1384,0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,3947.0,3947.0
1385,1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,10776.0,10776.0
1386,1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,6503.0,6503.0
1387,0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,1074.0,1074.0
1388,0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2405.0,2405.0
1389,1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,9975.0,9975.0
1390,1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,5457.0,5457.0
1391,1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,12124.0,12124.0
1392,0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,5009.0,5009.0
1393,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,5269.0,5269.0
1394,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,4546.0,4546.0
1395,0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,969.0,969.0
1396,0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,1607.0,1607.0
1397,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,5417.0,5417.0
1398,0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,1688.0,1688.0
1399,1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,5796.0,5796.0
1400,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,3980.0,3980.0
1401,0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,2810.0,2810.0
1402,1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,10415.0,10415.0
1403,1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,5731.0,5731.0
1404,1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,11931.0,11931.0
1405,1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,5459.0,5459.0
1406,1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,4193.0,4193.0
1407,0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,1363.0,1363.0
1408,2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,14349.0,14349.0
1409,0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,1608.0,1608.0
1410,1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,4859.0,4859.0
1411,1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,4595.0,4595.0
1412,0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,2581.0,2581.0
1413,0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,1387.0,1387.0
1414,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3487.0,3487.0
1415,0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,2476.0,2476.0
1416,0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,1454.0,1454.0
1417,0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,4447.0,4447.0
1418,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,4099.0,4099.0
1419,0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,2736.0,2736.0
1420,1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,5757.0,5757.0
1421,0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,493.0,493.0
1422,0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,779.0,779.0
1423,0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,4409.0,4409.0
1424,0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,1164.0,1164.0
1425,0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,1182.0,1182.0
1426,0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,4689.0,4689.0
1427,1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,6846.0,6846.0
1428,1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,7981.0,7981.0
1429,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,4845.0,4845.0
1430,0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,973.0,973.0
1431,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,874.0,874.0
1432,0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,3448.0,3448.0
1433,0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,2785.0,2785.0
1434,1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,5441.0,5441.0
1435,1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,9391.0,9391.0
1436,0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,675.0,675.0
1437,0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,1021.0,1021.0
1438,0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,821.0,821.0
1439,1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,9139.0,9139.0
1440,0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,2595.0,2595.0
1441,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,3670.0,3670.0
1442,0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,2729.0,2729.0
1443,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,1019.0,1019.0
1444,0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,3415.0,3415.0
1445,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,5094.0,5094.0
1446,0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,1216.0,1216.0
1447,1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,11439.0,11439.0
1448,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,6659.0,6659.0
1449,1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,6740.0,6740.0
1450,0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,-489.0,-489.0
1451,0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,786.0,786.0
1452,0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,2921.0,2921.0
1453,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,3999.0,3999.0
1454,0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,987.0,987.0
1455,2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,15205.0,15205.0
1456,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,6723.0,6723.0
1457,0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,479.0,479.0
1458,0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,131.0,131.0
1459,0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,2157.0,2157.0
1460,2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,15126.0,15126.0
1461,0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,530.0,530.0
1462,1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,11927.0,11927.0
1463,0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,164.0,164.0
1464,0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,1957.0,1957.0
1465,0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,2540.0,2540.0
1466,1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,6816.0,6816.0
1467,0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,405.0,405.0
1468,1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,5998.0,5998.0
1469,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,9513.0,9513.0
1470,0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,935.0,935.0
1471,0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,1335.0,1335.0
1472,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,4603.0,4603.0
1473,0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,-507.0,-507.0
1474,1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,10959.0,10959.0
1475,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,6009.0,6009.0
1476,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,1425.0,1425.0
1477,1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,5535.0,5535.0
1478,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,2035.0,2035.0
1479,1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,4692.0,4692.0
1480,0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,752.0,752.0
1481,1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,6272.0,6272.0
1482,0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,549.0,549.0
1483,1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,4520.0,4520.0
1484,0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73,423.0,423.0
1485,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,4427.0,4427.0
1486,1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,6681.0,6681.0
1487,0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,4621.0,4621.0
1488,0.33,Ideal,D,VVS2,60.9,57.0,4.46,4.48,2.72,1733.0,1733.0
1489,0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,1566.0,1566.0
1490,1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,7823.0,7823.0
1491,0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,4832.0,4832.0
1492,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,5707.0,5707.0
1493,0.35,Premium,E,IF,59.0,61.0,4.64,4.62,2.73,1872.0,1872.0
1494,2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,13633.0,13633.0
1495,1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,10632.0,10632.0
1496,1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,10436.0,10436.0
1497,1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,5503.0,5503.0
1498,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,2625.0,2625.0
1499,0.96,Premium,E,SI2,62.8,60.0,6.3,6.24,3.94,4143.0,4143.0
1500,0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,95.0,95.0
1501,0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,3929.0,3929.0
1502,0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,1183.0,1183.0
1503,0.54,Ideal,E,VS2,61.8,57.0,5.23,5.26,3.24,2311.0,2311.0
1504,0.71,Good,G,VS2,63.5,59.0,5.63,5.67,3.59,3109.0,3109.0
1505,1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,6231.0,6231.0
1506,1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,3617.0,3617.0
1507,2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,14645.0,14645.0
1508,0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,835.0,835.0
1509,0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,697.0,697.0
1510,0.31,Very Good,E,VVS1,62.3,59.0,4.32,4.38,2.71,1225.0,1225.0
1511,0.26,Very Good,G,VVS2,62.6,56.0,4.1,4.13,2.57,633.0,633.0
1512,1.58,Ideal,E,SI1,61.0,57.0,7.5,7.55,4.59,11165.0,11165.0
1513,0.32,Ideal,E,SI2,61.6,56.0,4.4,4.43,2.72,-807.0,-807.0
1514,0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,-525.0,-525.0
1515,0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,1664.0,1664.0
1516,0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,981.0,981.0
1517,0.41,Ideal,E,VVS2,62.8,54.0,4.77,4.72,2.98,2025.0,2025.0
1518,0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,2180.0,2180.0
1519,0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,3342.0,3342.0
1520,0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,907.0,907.0
1521,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,12153.0,12153.0
1522,0.72,Ideal,J,VS1,61.1,56.0,5.84,5.82,3.56,1906.0,1906.0
1523,1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,9032.0,9032.0
1524,0.4,Good,F,VVS1,60.6,62.0,4.71,4.73,2.86,1657.0,1657.0
1525,0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,1466.0,1466.0
1526,1.2,Ideal,H,SI1,60.8,57.0,6.9,6.88,4.19,6729.0,6729.0
1527,0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,1436.0,1436.0
1528,0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,2240.0,2240.0
1529,1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,11547.0,11547.0
1530,1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,7568.0,7568.0
1531,0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,179.0,179.0
1532,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,1172.0,1172.0
1533,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,4809.0,4809.0
1534,1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,6571.0,6571.0
1535,0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,3407.0,3407.0
1536,0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,1800.0,1800.0
1537,0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,1188.0,1188.0
1538,0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,1217.0,1217.0
1539,0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,1604.0,1604.0
1540,0.25,Ideal,E,VVS2,62.1,57.0,4.04,4.07,2.52,987.0,987.0
1541,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,19131.0,19131.0
1542,2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,13249.0,13249.0
1543,1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,7723.0,7723.0
1544,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,3094.0,3094.0
1545,1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93,4617.0,4617.0
1546,0.61,Very Good,I,VS2,62.7,57.0,5.39,5.42,3.39,1477.0,1477.0
1547,0.3,Ideal,I,SI1,61.5,57.0,4.3,4.35,2.66,-1248.0,-1248.0
1548,0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,2600.0,2600.0
1549,0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,1117.0,1117.0
1550,0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,3978.0,3978.0
1551,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,15774.0,15774.0
1552,0.7,Good,G,VS2,62.1,61.0,5.68,5.69,3.53,2989.0,2989.0
1553,1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,13411.0,13411.0
1554,1.5,Very Good,J,VS1,61.3,59.0,7.36,7.41,4.53,8951.0,8951.0
1555,0.75,Premium,I,SI1,62.5,58.0,5.77,5.82,3.62,2086.0,2086.0
1556,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,3340.0,3340.0
1557,1.0,Very Good,G,VS1,59.4,59.0,6.52,6.54,3.88,6195.0,6195.0
1558,1.02,Good,H,SI2,57.9,61.0,6.75,6.68,3.89,3703.0,3703.0
1559,0.7,Premium,E,SI1,60.7,58.0,5.74,5.73,3.48,2943.0,2943.0
1560,0.5,Ideal,E,VVS1,61.9,58.0,5.07,5.11,3.15,2737.0,2737.0
1561,2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,14944.0,14944.0
1562,0.34,Ideal,G,VVS2,61.1,57.0,4.48,4.52,2.75,1327.0,1327.0
1563,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,4179.0,4179.0
1564,1.01,Very Good,D,SI2,64.0,56.0,6.3,6.38,4.06,4907.0,4907.0
1565,0.51,Premium,E,SI2,61.8,58.0,5.11,5.08,3.15,429.0,429.0
1566,0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,2115.0,2115.0
1567,0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,907.0,907.0
1568,1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,6139.0,6139.0
1569,0.46,Ideal,E,VS2,62.1,57.0,4.93,4.89,3.05,1710.0,1710.0
1570,1.54,Premium,G,VS1,61.1,56.0,7.54,7.48,4.59,11240.0,11240.0
1571,0.3,Ideal,F,VVS1,61.6,55.0,4.33,4.37,2.68,1303.0,1303.0
1572,0.7,Ideal,G,SI2,61.8,53.0,5.73,5.69,3.53,1852.0,1852.0
1573,0.31,Good,H,VS1,64.0,59.0,4.25,4.28,2.73,-139.0,-139.0
1574,0.4,Very Good,E,VVS2,63.6,55.0,4.67,4.7,2.98,1819.0,1819.0
1575,1.01,Ideal,D,SI1,60.8,56.0,6.54,6.48,3.96,5951.0,5951.0
1576,0.51,Very Good,G,VVS2,63.5,56.0,5.11,5.07,3.23,2305.0,2305.0
1577,0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61,4699.0,4699.0
1578,0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,1.0,1.0
1579,0.3,Premium,F,SI1,62.1,60.0,4.28,4.26,2.65,-213.0,-213.0
1580,0.47,Ideal,J,SI1,61.9,55.0,5.0,5.05,3.11,-971.0,-971.0
1581,0.31,Very Good,D,SI1,62.1,58.0,4.3,4.33,2.68,168.0,168.0
1582,0.58,Ideal,G,IF,61.3,56.0,5.36,5.39,3.29,3483.0,3483.0
1583,0.4,Ideal,F,VVS1,61.3,56.0,4.76,4.73,2.91,1966.0,1966.0
1584,0.23,Very Good,E,VVS1,61.3,58.0,3.94,3.96,2.42,825.0,825.0
1585,1.14,Ideal,I,SI1,62.2,56.0,6.65,6.7,4.15,5733.0,5733.0
1586,0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,2451.0,2451.0
1587,1.37,Premium,J,SI2,60.7,60.0,7.19,7.07,4.33,5824.0,5824.0
1588,2.25,Ideal,I,SI2,60.5,56.0,8.49,8.54,5.15,15577.0,15577.0
1589,1.09,Ideal,F,SI1,62.0,56.0,6.56,6.61,4.08,6485.0,6485.0
1590,1.01,Very Good,F,SI1,63.3,59.0,6.42,6.38,4.05,5439.0,5439.0
1591,1.59,Premium,D,SI2,59.4,61.0,7.62,7.56,4.51,10333.0,10333.0
1592,0.51,Very Good,G,VVS2,61.5,56.0,5.12,5.15,3.16,2431.0,2431.0
1593,0.51,Premium,H,SI2,62.9,56.0,5.08,5.06,3.19,-327.0,-327.0
1594,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,789.0,789.0
1595,0.7,Good,D,VS2,64.1,59.0,5.56,5.49,3.54,3517.0,3517.0
1596,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,6806.0,6806.0
1597,0.44,Good,J,VS1,63.1,57.0,4.83,4.87,3.06,-610.0,-610.0
1598,0.42,Very Good,D,VS1,60.7,60.0,4.81,4.88,2.94,1825.0,1825.0
1599,1.01,Premium,F,VS2,62.8,59.0,6.41,6.33,4.0,6119.0,6119.0
1600,0.51,Premium,F,VS1,60.9,57.0,5.27,5.17,3.18,2156.0,2156.0
1601,1.0,Fair,E,SI1,66.3,62.0,6.27,6.06,4.09,4545.0,4545.0
1602,0.52,Very Good,G,SI1,60.6,61.0,5.17,5.19,3.14,1151.0,1151.0
1603,0.9,Ideal,G,SI1,61.9,55.0,6.18,6.23,3.84,4553.0,4553.0
1604,0.42,Ideal,G,VS1,61.0,56.0,4.82,4.86,2.95,1525.0,1525.0
1605,0.3,Very Good,D,SI1,60.6,60.0,4.3,4.32,2.61,110.0,110.0
1606,0.93,Premium,F,SI2,59.5,60.0,6.39,6.36,3.79,3869.0,3869.0
1607,1.23,Ideal,H,SI2,61.4,54.0,6.95,6.94,4.26,6081.0,6081.0
1608,0.56,Ideal,E,VS2,60.9,56.0,5.35,5.32,3.25,2492.0,2492.0
1609,0.32,Good,H,SI1,63.5,57.0,4.34,4.39,2.77,-963.0,-963.0
1610,0.24,Ideal,F,VVS1,60.8,55.0,4.03,4.06,2.46,1007.0,1007.0
1611,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11,5739.0,5739.0
1612,0.53,Very Good,E,VS1,63.0,56.0,5.13,5.16,3.24,2445.0,2445.0
1613,2.01,Very Good,E,SI2,62.0,61.0,8.04,8.1,5.0,14249.0,14249.0
1614,1.3,Premium,H,SI2,61.3,58.0,6.99,6.95,4.27,6667.0,6667.0
1615,2.0,Very Good,H,SI1,60.9,58.0,8.07,8.15,4.94,14451.0,14451.0
1616,1.02,Good,D,SI2,58.9,65.0,6.59,6.54,3.87,4697.0,4697.0
1617,1.0,Premium,E,SI2,58.5,59.0,6.62,6.51,3.84,4569.0,4569.0
1618,2.0,Premium,H,SI2,62.1,60.0,8.1,8.01,5.3,13334.0,13334.0
1619,0.3,Premium,D,VS2,60.9,58.0,4.35,4.32,2.64,713.0,713.0
1620,0.71,Very Good,E,VVS2,61.7,60.0,5.7,5.74,3.53,4236.0,4236.0
1621,1.0,Ideal,G,VS1,62.5,54.0,6.4,6.44,4.01,6353.0,6353.0
